question,choiceA,choiceB,choiceC,choiceD,correctAnswer,explanation,explanationVi,part,topic,difficulty
"The new manager has asked _____ employees to submit their reports by Friday.","he","him","his","himself","C","The possessive adjective ""his"" is required before the noun ""employees"" to show ownership.","Dịch nghĩa: Quản lý mới đã yêu cầu nhân viên của mình nộp báo cáo trước thứ Sáu. | Giải thích: Tính từ sở hữu ""his"" được yêu cầu đứng trước danh từ ""employees"" để chỉ sự sở hữu.","5","business","500"
"Please review the contract carefully _____ signing the final document.","before","between","among","during","A","The preposition ""before"" logically fits here to describe an action occurring prior to signing.","Dịch nghĩa: Vui lòng xem xét kỹ hợp đồng trước khi ký tài liệu cuối cùng. | Giải thích: Giới từ ""before"" phù hợp về mặt logic ở đây để mô tả một hành động xảy ra trước khi ký.","5","business","500"
"The management team _____ the new business strategy at yesterday's general meeting.","discusses","discussed","discussing","will discuss","B","The adverb ""yesterday"" indicates a past action, requiring the simple past tense ""discussed"".","Dịch nghĩa: Ban quản lý đã thảo luận về chiến lược kinh doanh mới tại cuộc họp toàn thể ngày hôm qua. | Giải thích: Trạng từ ""yesterday"" chỉ một hành động trong quá khứ, yêu cầu thì quá khứ đơn ""discussed"".","5","business","600"
"If the supplier _____ the contract terms, we will search for another partner.","violates","violated","will violate","violating","A","This is a first conditional sentence. The ""if"" clause uses the simple present tense (""violates"") for future possibility.","Dịch nghĩa: Nếu nhà cung cấp vi phạm các điều khoản hợp đồng, chúng tôi sẽ tìm kiếm đối tác khác. | Giải thích: Đây là câu điều kiện loại 1. Mệnh đề ""if"" sử dụng thì hiện tại đơn (""violates"") cho khả năng xảy ra trong tương lai.","5","business","600"
"Our legal consultants will help us negotiate the terms _____ we sign the final agreement.","so","so that","before","in order to","C","""before"" acts as a temporal conjunction connecting the main clause with the subordinate clause.","Dịch nghĩa: Các cố vấn pháp lý của chúng tôi sẽ giúp chúng tôi thương lượng các điều khoản trước khi chúng tôi ký thỏa thuận cuối cùng. | Giải thích: ""before"" đóng vai trò là một liên từ chỉ thời gian nối mệnh đề chính với mệnh đề phụ.","5","business","700"
"The transaction was completed _____ because all required files had been submitted.","quick","quickly","quickness","quicker","B","The adverb ""quickly"" is required to modify the passive verb phrase ""was completed"".","Dịch nghĩa: Giao dịch đã được hoàn thành nhanh chóng vì tất cả các hồ sơ yêu cầu đã được nộp. | Giải thích: Trạng từ ""quickly"" là cần thiết để bổ nghĩa cho cụm động từ bị động ""was completed"".","5","business","700"
"_____ the unexpected decline in sales, the executive board approved the new venture.","Although","Despite","Because","Unless","B","""Despite"" is a preposition and must be followed by a noun phrase (""the unexpected decline in sales"").","Dịch nghĩa: Bất chấp sự sụt giảm doanh số ngoài dự kiến, ban điều hành vẫn phê duyệt liên doanh mới. | Giải thích: ""Despite"" là một giới từ và phải được theo sau bởi một cụm danh từ (""the unexpected decline in sales"").","5","business","800"
"The legal team worked late so that the contract _____ ready for the morning meeting.","is","will be","would be","had been","C","The phrase ""so that"" introduces a purpose clause. Because the main clause is in the past tense (""worked""), we use ""would be"".","Dịch nghĩa: Nhóm pháp lý đã làm việc muộn để hợp đồng sẵn sàng cho cuộc họp buổi sáng. | Giải thích: Cụm từ ""so that"" giới thiệu một mệnh đề chỉ mục đích. Vì mệnh đề chính ở thì quá khứ (""worked""), chúng ta dùng ""would be"".","5","business","800"
"Had the two conglomerates negotiated more patiently, they _____ a mutually beneficial deal.","would reach","will reach","would have reached","reached","C","This is an inverted third conditional sentence. The condition ""Had they negotiated"" matches with ""would have reached"".","Dịch nghĩa: Nếu hai tập đoàn đàm phán kiên nhẫn hơn, họ đã đạt được một thỏa thuận đôi bên cùng có lợi. | Giải thích: Đây là câu điều kiện loại 3 đảo ngữ. Điều kiện ""Had they negotiated"" đi kèm với ""would have reached"".","5","business","900"
"The litigation process, _____ length was unexpected, cost the corporation millions of dollars.","which","whose","that","whom","B","The relative pronoun ""whose"" is used to denote possession relative to ""the litigation process"".","Dịch nghĩa: Quá trình kiện tụng, có thời gian kéo dài ngoài dự kiến, đã tiêu tốn của tập đoàn hàng triệu đô la. | Giải thích: Đại từ quan hệ ""whose"" được sử dụng để chỉ sự sở hữu liên quan đến danh từ ""the litigation process"".","5","business","900"
"Please print the agenda for the meeting _____ distribute it to all attendees.","but","and","or","so","B","The coordinating conjunction ""and"" connects two parallel instructions in the imperative mood.","Dịch nghĩa: Vui lòng in chương trình nghị sự cho cuộc họp và phân phát cho tất cả những người tham dự. | Giải thích: Liên từ kết hợp ""and"" kết nối hai chỉ dẫn song song ở câu mệnh lệnh.","5","meetings","500"
"Ms. Davis will present her research results _____ the conference tomorrow afternoon.","on","at","with","for","B","The preposition ""at"" is used to refer to a specific event or location, such as ""at the conference"".","Dịch nghĩa: Cô Davis sẽ trình bày kết quả nghiên cứu của mình tại hội nghị vào chiều mai. | Giải thích: Giới từ ""at"" được sử dụng để chỉ một sự kiện hoặc địa điểm cụ thể, chẳng hạn như ""at the conference"".","5","meetings","500"
"All members of the committee _____ to attend the special training session next Monday.","require","are required","requiring","have required","B","The passive construction ""are required"" is needed here because the subject receives the action of being required.","Dịch nghĩa: Tất cả các thành viên của ủy ban được yêu cầu tham dự buổi đào tạo đặc biệt vào thứ Hai tới. | Giải thích: Cấu trúc bị động ""are required"" là cần thiết ở đây vì chủ ngữ nhận hành động bị yêu cầu.","5","meetings","600"
"The seminar on digital marketing was _____ attended by local business representatives.","wide","widely","width","widen","B","The adverb ""widely"" modifies the participle/adjective ""attended"".","Dịch nghĩa: Hội thảo về tiếp thị kỹ thuật số đã có sự tham dự rộng rãi của các đại diện doanh nghiệp địa phương. | Giải thích: Trạng từ ""widely"" bổ nghĩa cho phân từ/tính từ ""attended"".","5","meetings","600"
"Although we want to collaborate, we must postpone the meeting _____ we have more data.","until","since","during","while","A","""until"" is a conjunction indicating the point in time up to which the postponement will last.","Dịch nghĩa: Mặc dù chúng tôi muốn hợp tác, chúng tôi phải hoãn cuộc họp cho đến khi chúng tôi có thêm dữ liệu. | Giải thích: ""until"" là liên từ chỉ thời điểm kéo dài cho đến khi hành động trì hoãn kết thúc.","5","meetings","700"
"The chairperson decided _____ the meeting because several board members were absent.","postpone","to postpone","postponed","postponing","B","The verb ""decide"" is followed by an infinitive verb phrase starting with ""to"".","Dịch nghĩa: Chủ tịch đã quyết định hoãn cuộc họp vì một số thành viên hội đồng quản trị vắng mặt. | Giải thích: Động từ ""decide"" được theo sau bởi một cụm động từ nguyên mẫu bắt đầu bằng ""to"".","5","meetings","700"
"_____ the meeting was adjourned, the marketing director stayed to speak with the CEO.","After","During","Despite","In order to","A","The temporal conjunction ""After"" logically introduces the clause that occurred before the director's discussion.","Dịch nghĩa: Sau khi cuộc họp kết thúc, giám đốc tiếp thị đã ở lại để nói chuyện với CEO. | Giải thích: Liên từ chỉ thời gian ""After"" giới thiệu một cách hợp lý mệnh đề xảy ra trước cuộc thảo luận của giám đốc.","5","meetings","800"
"They were able to reach a consensus, _____ pleased the board of directors.","who","which","that","whom","B","The relative pronoun ""which"" is used here to modify the entire preceding clause (""They were able to reach a consensus"").","Dịch nghĩa: Họ đã có thể đạt được sự đồng thuận, điều này làm hài lòng ban giám đốc. | Giải thích: Đại từ quan hệ ""which"" được dùng ở đây để bổ nghĩa cho toàn bộ mệnh đề đi trước (""They were able to reach a consensus"").","5","meetings","800"
"No sooner had the committee convened than the members _____ to vote on the resolution.","decide","decided","had decided","will decide","B","The structure ""No sooner had + past perfect + than + simple past"" is used to show two actions happening in quick succession.","Dịch nghĩa: Ngay sau khi ủy ban họp, các thành viên đã quyết định bỏ phiếu cho nghị quyết. | Giải thích: Cấu trúc ""No sooner had + quá khứ hoàn thành + than + quá khứ đơn"" được dùng để chỉ hai hành động xảy ra liên tiếp nhanh chóng.","5","meetings","900"
"Only by achieving absolute unanimity _____ the board pass the complex corporate revision.","the board can","can the board","the board did","did the board can","B","This sentence requires inversion because it begins with the limiting phrase ""Only by..."". The auxiliary ""can"" precedes the subject.","Dịch nghĩa: Chỉ bằng cách đạt được sự nhất trí hoàn toàn, hội đồng quản trị mới có thể thông qua bản sửa đổi phức tạp của công ty. | Giải thích: Câu này yêu cầu đảo ngữ vì nó bắt đầu bằng cụm từ hạn chế ""Only by..."". Trợ động từ ""can"" đứng trước chủ ngữ.","5","meetings","900"
"Please submit the document directly _____ the human resources department.","at","to","in","for","B","The verb ""submit"" is typically paired with the preposition ""to"" when indicating the recipient of the submission.","Dịch nghĩa: Vui lòng nộp tài liệu trực tiếp cho bộ phận nhân sự. | Giải thích: Động từ ""submit"" thường được đi kèm với giới từ ""to"" khi chỉ người nhận hồ sơ nộp.","5","office","500"
"Mr. Green is _____ employee who works in our sales department.","a","an","the","some","B","The indefinite article ""an"" is required before the singular countable noun ""employee"" because it begins with a vowel sound.","Dịch nghĩa: Ông Green là một nhân viên làm việc trong bộ phận bán hàng của chúng tôi. | Giải thích: Mạo từ bất định ""an"" là cần thiết trước danh từ đếm được số ít ""employee"" vì nó bắt đầu bằng một nguyên âm.","5","office","500"
"The HR department is planning _____ the new employees next week.","train","to train","trained","training","B","The verb ""plan"" is followed by a to-infinitive construction.","Dịch nghĩa: Bộ phận nhân sự đang lên kế hoạch đào tạo nhân viên mới vào tuần tới. | Giải thích: Động từ ""plan"" được theo sau bởi cấu trúc động từ nguyên mẫu có ""to"".","5","office","600"
"The secretary _____ coordinated the logistics for the upcoming corporate training event.","efficiency","efficient","efficiently","efficiencies","C","The adverb ""efficiently"" is required to modify the verb ""coordinated"".","Dịch nghĩa: Thư ký đã điều phối hiệu quả công tác hậu cần cho sự kiện đào tạo sắp tới của công ty. | Giải thích: Trạng từ ""efficiently"" là cần thiết để bổ nghĩa cho động từ ""coordinated"".","5","office","600"
"Rather than doing everything himself, the manager decided _____ the tasks to his team.","delegate","to delegate","delegated","delegating","B","The verb ""decide"" requires a to-infinitive complement (""to delegate"").","Dịch nghĩa: Thay vì tự mình làm mọi việc, người quản lý quyết định phân công nhiệm vụ cho nhóm của mình. | Giải thích: Động từ ""decide"" yêu cầu bổ ngữ động từ nguyên mẫu có ""to"" (""to delegate"").","5","office","700"
"Ms. White will supervise the team while the director _____ away on a business trip.","is","will be","was","has been","A","In time clauses introduced by ""while"", we use the simple present tense (""is"") to refer to future time.","Dịch nghĩa: Cô White sẽ giám sát nhóm trong khi giám đốc đi công tác. | Giải thích: Trong các mệnh đề thời gian giới thiệu bởi ""while"", chúng ta sử dụng thì hiện tại đơn (""is"") để chỉ thời gian tương lai.","5","office","700"
"The human resources division hired additional personnel _____ improve the workflow.","so that","in order to","because of","although","B","The prepositional phrase ""in order to"" is followed by the base form of the verb ""improve"" to indicate purpose.","Dịch nghĩa: Bộ phận nhân sự đã thuê thêm nhân viên để cải thiện quy trình làm việc. | Giải thích: Cụm từ giới từ ""in order to"" được theo sau bởi dạng nguyên mẫu của động từ ""improve"" để chỉ mục đích.","5","office","800"
"All office staff must follow the guidelines, _____ of their positions in the firm.","regard","regards","regardless","regarding","C","The compound prepositional phrase ""regardless of"" means without paying attention to something.","Dịch nghĩa: Tất cả nhân viên văn phòng phải tuân theo hướng dẫn, bất kể vị trí của họ trong công ty. | Giải thích: Cụm giới từ ghép ""regardless of"" có nghĩa là bất kể, không quan tâm đến điều gì.","5","office","800"
"The CEO insisted that the administrative bureaucracy _____ simplified to boost efficiency.","is","be","was","should have been","B","The verb ""insist"" triggers the subjunctive mood in the following ""that"" clause, requiring the base form of the verb (""be simplified"").","Dịch nghĩa: CEO đã nhấn mạnh rằng thủ tục hành chính phức tạp cần được đơn giản hóa để tăng hiệu quả. | Giải thích: Động từ ""insist"" kích hoạt thức giả định trong mệnh đề ""that"" theo sau, yêu cầu động từ ở dạng nguyên thể (""be simplified"").","5","office","900"
"Scarcely had the new personnel system been introduced when the office workflow _____ disrupted.","is","was","had been","would be","B","The structure ""Scarcely had + past perfect + when + simple past"" indicates that one event happened immediately after another.","Dịch nghĩa: Hệ thống nhân sự mới vừa được giới thiệu thì quy trình làm việc của văn phòng đã bị gián đoạn. | Giải thích: Cấu trúc ""Scarcely had + quá khứ hoàn thành + when + quá khứ đơn"" chỉ ra rằng một sự kiện đã xảy ra ngay sau một sự kiện khác.","5","office","900"
"The finance department approved the budget _____ the upcoming marketing project.","for","at","with","to","A","The preposition ""for"" is used to show the purpose or target of the budget allocation.","Dịch nghĩa: Bộ phận tài chính đã phê duyệt ngân sách cho dự án tiếp thị sắp tới. | Giải thích: Giới từ ""for"" được sử dụng để chỉ mục đích hoặc đối tượng của việc phân bổ ngân sách.","5","finance","500"
"Travel expenses should _____ submitted directly to the accounting office.","be","is","have","are","A","The modal verb ""should"" must be followed by the base passive form ""be"" + past participle.","Dịch nghĩa: Chi phí đi lại nên được nộp trực tiếp cho phòng kế toán. | Giải thích: Động từ khuyết thiếu ""should"" phải được theo sau bởi dạng bị động nguyên mẫu ""be"" + quá khứ phân từ.","5","finance","500"
"The retail chain reported a significant increase in profit _____ last quarter.","during","while","between","throughout","A","The preposition ""during"" is used to specify the period of time in which the increase occurred.","Dịch nghĩa: Chuỗi bán lẻ đã báo cáo lợi nhuận tăng đáng kể trong quý trước. | Giải thích: Giới từ ""during"" được sử dụng để chỉ khoảng thời gian xảy ra sự gia tăng.","5","finance","600"
"Our quarterly revenue has grown _____ because of the successful product launch.","substantial","substantially","substantiated","substance","B","The adverb ""substantially"" is required to modify the verb phrase ""has grown"".","Dịch nghĩa: Doanh thu hàng quý của chúng tôi đã tăng trưởng đáng kể nhờ sự ra mắt sản phẩm thành công. | Giải thích: Trạng từ ""substantially"" là cần thiết để bổ nghĩa cho cụm động từ ""has grown"".","5","finance","600"
"We need to evaluate the financial details before _____ on the investment.","decide","deciding","decided","decides","B","After the preposition ""before"", the gerund form ""deciding"" is required.","Dịch nghĩa: Chúng ta cần đánh giá các chi tiết tài chính trước khi quyết định đầu tư. | Giải thích: Sau giới từ ""before"", dạng danh động từ ""deciding"" là bắt buộc.","5","finance","700"
"The financial analyst calculated the total expenses _____ the final report.","write","writing","to write","written","C","The infinitive ""to write"" is used here to indicate the purpose of calculating the expenses.","Dịch nghĩa: Nhà phân tích tài chính đã tính toán tổng chi phí để viết báo cáo cuối cùng. | Giải thích: Động từ nguyên mẫu ""to write"" được dùng ở đây để chỉ mục đích của việc tính toán chi phí.","5","finance","700"
"_____ the government cuts taxes, the company's net profits will not increase.","Unless","Although","Because","Despite","A","""Unless"" is equivalent to ""if... not"", which fits the negative conditional meaning of this sentence.","Dịch nghĩa: Trừ khi chính phủ cắt giảm thuế, lợi nhuận ròng của công ty sẽ không tăng. | Giải thích: ""Unless"" tương đương với ""if... not"" (trừ khi), phù hợp với ý nghĩa điều kiện phủ định của câu này.","5","finance","800"
"The corporation purchased the asset, _____ value has doubled over the past year.","which","whose","that","whom","B","The relative pronoun ""whose"" is used to show possession relative to the noun ""the asset"".","Dịch nghĩa: Tập đoàn đã mua tài sản có giá trị tăng gấp đôi trong năm qua. | Giải thích: Đại từ quan hệ ""whose"" được sử dụng để chỉ sự sở hữu liên quan đến danh từ ""the asset"".","5","finance","800"
"Had the corporation balanced its liabilities, the budget deficit _____ by the auditors.","would not notice","will not have been noticed","would not have been noticed","had not been noticed","C","This is an inverted third conditional sentence. The passive result clause requires ""would not have been noticed"".","Dịch nghĩa: Nếu tập đoàn cân đối được các khoản nợ phải trả, sự thâm hụt ngân sách đã không bị các kiểm toán viên phát hiện. | Giải thích: Đây là câu điều kiện loại 3 đảo ngữ. Mệnh đề kết quả ở thể bị động yêu cầu ""would not have been noticed"".","5","finance","900"
"The company's equipment is subject to rapid depreciation, _____ requires regular asset audits.","whose","which","what","that","B","The relative pronoun ""which"" is used with a comma to add non-restrictive information modifying the preceding clause.","Dịch nghĩa: Thiết bị của công ty có xu hướng khấu hao nhanh, điều này đòi hỏi phải kiểm toán tài sản thường xuyên. | Giải thích: Đại từ quan hệ ""which"" được dùng kèm dấu phẩy để bổ sung thông tin không hạn chế bổ nghĩa cho mệnh đề đi trước.","5","finance","900"
"Our brand is famous _____ its high-quality electronic appliances.","for","with","at","about","A","The adjective ""famous"" is typically paired with the preposition ""for"" to state the reason for fame.","Dịch nghĩa: Thương hiệu của chúng tôi nổi tiếng về các thiết bị điện tử chất lượng cao. | Giải thích: Tính từ ""famous"" thường đi với giới từ ""for"" để chỉ lý do nổi tiếng.","5","marketing","500"
"The marketing team set a new sales target _____ the second quarter.","in","on","for","with","C","The preposition ""for"" is appropriate here to designate the period intended for the target.","Dịch nghĩa: Đội ngũ tiếp thị đã đặt ra mục tiêu doanh số mới cho quý hai. | Giải thích: Giới từ ""for"" phù hợp ở đây để chỉ khoảng thời gian hướng tới của mục tiêu.","5","marketing","500"
"The advertising campaign _____ designed by a famous marketing agency last month.","is","was","were","being","B","The singular noun ""campaign"" and the past indicator ""last month"" require the past passive auxiliary ""was"".","Dịch nghĩa: Chiến dịch quảng cáo đã được thiết kế bởi một công ty tiếp thị nổi tiếng vào tháng trước. | Giải thích: Danh từ số ít ""campaign"" và trạng ngữ chỉ quá khứ ""last month"" yêu cầu trợ động từ bị động quá khứ ""was"".","5","marketing","600"
"We received valuable feedback from consumers who _____ our new fitness app.","tests","tested","testing","will test","B","The verb ""tested"" is in the simple past tense, which aligns with the past action of receiving feedback.","Dịch nghĩa: Chúng tôi đã nhận được phản hồi quý giá từ những người tiêu dùng đã thử nghiệm ứng dụng thể dục mới của chúng tôi. | Giải thích: Động từ ""tested"" ở thì quá khứ đơn, phù hợp với hành động đã nhận được phản hồi trong quá khứ.","5","marketing","600"
"The executives made a strategic decision _____ online marketing channels.","expand","to expand","expanded","expanding","B","The noun ""decision"" is followed by a to-infinitive phrase to specify the content of the decision.","Dịch nghĩa: Ban điều hành đã đưa ra quyết định chiến lược nhằm mở rộng các kênh tiếp thị trực tuyến. | Giải thích: Danh từ ""decision"" được theo sau bởi cụm động từ nguyên mẫu có ""to"" để chỉ nội dung quyết định.","5","marketing","700"
"The creative designer proposed an _____ campaign to attract younger consumers.","innovate","innovation","innovative","innovatively","C","The adjective ""innovative"" is required to modify the singular noun ""campaign"".","Dịch nghĩa: Nhà thiết kế sáng tạo đã đề xuất một chiến dịch đổi mới để thu hút người tiêu dùng trẻ tuổi hơn. | Giải thích: Tính từ ""innovative"" là cần thiết để bổ nghĩa cho danh từ số ít ""campaign"".","5","marketing","700"
"We decided to advertise our new products on social media _____ television.","instead of","because of","according to","in addition to","A","The phrase ""instead of"" shows substitution, meaning they chose social media rather than television.","Dịch nghĩa: Chúng tôi quyết định quảng cáo sản phẩm mới của mình trên mạng xã hội thay vì truyền hình. | Giải thích: Cụm từ ""instead of"" chỉ sự thay thế, có nghĩa là họ chọn mạng xã hội thay vì truyền hình.","5","marketing","800"
