word,pronunciation,partOfSpeech,definition,definitionNative,example,exampleTranslation,topic,difficulty,synonyms
"Collaborate","/kəˈlæbəreɪt/","verb","To work jointly with others or together, especially in an intellectual endeavor.","Hợp tác, cộng tác","Researchers from several top universities decided to collaborate on the project.","Các nhà nghiên cứu từ một số trường đại học hàng đầu đã quyết định hợp tác trong dự án.","business","700","cooperate,team up,conspire"
"Negotiate","/nɪˈɡəʊʃɪeɪt/","verb","To try to reach an agreement or compromise by discussion with others.","Thương lượng, đàm phán","Our sales representative managed to negotiate a highly favorable supply contract.","Đại diện bán hàng của chúng tôi đã xoay sở để đàm phán được một hợp đồng cung cấp rất có lợi.","business","700","bargain,mediate,discuss,settle"
"Acquire","/əˈkwaɪə(r)/","verb","To buy or obtain an asset or object, or to learn a new skill.","Mua lại, đạt được, thâu tóm","The tech giant plans to acquire a promising artificial intelligence startup.","Gã khổng lồ công nghệ có kế hoạch mua lại một công ty khởi nghiệp trí tuệ nhân tạo đầy hứa hẹn.","business","800","obtain,purchase,gain,procure"
"Terminate","/ˈtɜːmɪneɪt/","verb","To bring to an end; close or conclude.","Chấm dứt, hủy bỏ, hoàn thành","Either party has the right to terminate the contract with a 30-day written notice.","Bất kỳ bên nào cũng có quyền chấm dứt hợp đồng với thông báo bằng văn bản trước 30 ngày.","business","800","end,cancel,conclude,finish"
"Comply","/kəmˈplaɪ/","verb","To act in accordance with a wish, command, rule, or instruction.","Tuân thủ, làm theo","All factories must comply with environmental protection standards.","Tất cả các nhà máy phải tuân thủ các tiêu chuẩn bảo vệ môi trường.","business","800","obey,adhere,conform,observe"
"Mandate","/ˈmændeɪt/","noun","An official order or commission to do something.","Lệnh, chỉ thị, ủy thác","The government issued a mandate requiring all employees to wear masks.","Chính phủ đã ban hành chỉ thị yêu cầu tất cả nhân viên phải đeo khẩu trang.","business","750","order,command,instruction,decree"
"Merge","/mɜːdʒ/","verb","Combine or cause to combine to form a single entity.","Sáp nhập, hợp nhất","The two local banks decided to merge to improve market competitiveness.","Hai ngân hàng địa phương đã quyết định sáp nhập để nâng cao khả năng cạnh tranh trên thị trường.","business","700","combine,unite,join,amalgamate"
"Affiliate","/əˈfɪlieɪt/","noun","A person or organization officially attached to a larger body.","Công ty liên kết, đại lý liên kết","Our company has a local affiliate in Tokyo to manage East Asian operations.","Công ty chúng tôi có một chi nhánh liên kết địa phương tại Tokyo để quản lý các hoạt động ở Đông Á.","business","750","partner,branch,associate,member"
"Transaction","/trænˈzækʃn/","noun","An instance of buying or selling something; a business deal.","Giao dịch, công việc kinh doanh","The online transaction was completed within a few seconds.","Giao dịch trực tuyến đã hoàn tất trong vòng vài giây.","business","600","deal,business,trade,sale"
"Clause","/klɔːz/","noun","A particular and separate article, stipulation, or proviso in a treaty, bill, or contract.","Điều khoản (trong hợp đồng)","The termination clause specifies the penalties for breaking the contract early.","Điều khoản chấm dứt quy định các hình phạt đối với việc phá vỡ hợp đồng sớm.","business","700","section,paragraph,article,condition"
"Draft","/drɑːft/","verb","Prepare the preliminary version of a document.","Phác thảo, soạn thảo","The legal team will draft a new sales agreement by Friday.","Đội ngũ pháp lý sẽ soạn thảo một hợp đồng bán hàng mới trước thứ Sáu.","business","600","compose,outline,sketch,prepare"
"Enforce","/ɪnˈfɔːs/","verb","Compel observance of or compliance with a law, rule, or obligation.","Thi hành, bắt buộc, áp đặt","It is the manager's responsibility to enforce office policies.","Trách nhiệm của người quản lý là thực thi các chính sách của văn phòng.","business","700","apply,implement,administer,impose"
"Penalty","/ˈpenəlti/","noun","A punishment imposed for breaking a law, rule, or contract.","Hình phạt, tiền phạt","There is a penalty for late payment of the credit card bill.","Có hình phạt cho việc thanh toán trễ hạn hóa đơn thẻ tín dụng.","business","600","fine,punishment,forfeit"
"Void","/vɔɪd/","adjective","Not valid or legally binding.","Không có hiệu lực, trống rỗng","The contract becomes null and void if any terms are violated.","Hợp đồng sẽ trở nên vô hiệu nếu bất kỳ điều khoản nào bị vi phạm.","business","750","invalid,useless,empty,cancelled"
"Binding","/ˈbaɪndɪŋ/","adjective","Imposing a legal obligation.","Ràng buộc pháp lý","The signed document constitutes a legally binding agreement.","Tài liệu đã ký cấu thành một thỏa thuận ràng buộc về mặt pháp lý.","business","750","obligatory,mandatory,compulsory"
"Renew","/rɪˈnjuː/","verb","Resume or re-establish an activity, or extend the period of validity of a contract.","Gia hạn, làm mới","We plan to renew our subscription to the financial journal next month.","Chúng tôi dự định gia hạn đăng ký tạp chí tài chính vào tháng tới.","business","600","extend,restore,refresh,recreate"
"Mutual","/ˈmjuːtʃuəl/","adjective","Held in common by two or more parties; shared.","Lẫn nhau, chung","The partnership was dissolved by mutual consent.","Quan hệ đối tác đã được giải thể bằng sự đồng ý của cả hai bên.","business","650","reciprocal,shared,common,joint"
"Dispute","/dɪˈspjuːt/","noun","A disagreement, argument, or debate.","Tranh chấp, tranh luận","The company resolved the contract dispute out of court.","Công ty đã giải quyết tranh chấp hợp đồng ngoài tòa án.","business","700","argument,disagreement,conflict,quarrel"
"Resolve","/rɪˈzɒlv/","verb","Settle or find a solution to a problem or dispute.","Giải quyết, kiên quyết","Our customer support team is trained to resolve complaints quickly.","Đội ngũ hỗ trợ khách hàng của chúng tôi được đào tạo để giải quyết khiếu nại nhanh chóng.","business","650","settle,solve,decide,fix"
"Compromise","/ˈkɒmprəmaɪz/","noun","An agreement or a settlement of a dispute that is reached by each side making concessions.","Sự thỏa hiệp","After hours of negotiation, both sides finally reached a compromise.","Sau nhiều giờ đàm phán, hai bên cuối cùng đã đạt được sự thỏa hiệp.","business","700","settlement,agreement,concession,accommodation"
"Agenda","/əˈdʒendə/","noun","A list of items to be discussed at a formal meeting.","Chương trình nghị sự, lịch trình họp","The budget review is the first item on the agenda for this afternoon's board meeting.","Đánh giá ngân sách là mục đầu tiên trong chương trình nghị sự cho cuộc họp hội đồng quản trị chiều nay.","office","600","schedule,program,timetable,itinerary"
"Delegate","/ˈdelɪɡət/","verb","To entrust a task or responsibility to another person, typically one who is less senior.","Ủy thác, giao việc, phân quyền","An effective manager knows how to delegate work to team members.","Một người quản lý hiệu quả biết cách ủy thác công việc cho các thành viên trong nhóm.","office","750","assign,entrust,hand over,depute"
"Execute","/ˈeksɪkjuːt/","verb","Put a plan or order into effect; carry out.","Thi hành, thực hiện, làm","The project team worked hard to execute the strategy flawlessly.","Đội ngũ dự án đã làm việc chăm chỉ để thực hiện chiến lược một cách hoàn hảo.","office","700","perform,implement,achieve,complete"
"Document","/ˈdɒkjumənt/","noun","A piece of written, printed, or electronic matter that provides information or evidence.","Tài liệu, văn bản","Please sign and return the attached document as soon as possible.","Vui lòng ký và gửi lại tài liệu đính kèm càng sớm càng tốt.","office","500","record,paper,file,certificate"
"Distribute","/dɪˈstrɪbjuːt/","verb","Give shares of something; deal out.","Phân phát, phân phối","The secretary will distribute the minutes of the meeting tomorrow.","Thư ký sẽ phân phát biên bản cuộc họp vào ngày mai.","office","600","hand out,scatter,deliver,allocate"
"Process","/ˈprəʊses/","verb","Perform a series of mechanical or chemical operations on something in order to change or preserve it.","Xử lý (hồ sơ, dữ liệu)","It takes three business days to process a visa application.","Mất ba ngày làm việc để xử lý đơn xin thị thực.","office","550","handle,deal with,manage,treat"
"Submit","/səbˈmɪt/","verb","Present a proposal, application, or other document to a person or body for consideration or judgment.","Nộp, đệ trình","All employees must submit their timesheets by Friday afternoon.","Tất cả nhân viên phải nộp bảng chấm công của họ trước chiều thứ Sáu.","office","500","present,hand in,tender,proffer"
"Supervise","/ˈsuːpəvaɪz/","verb","Observe and direct the execution of a task, project, or activity.","Giám sát, quản lý","An experienced engineer was appointed to supervise the construction site.","Một kỹ sư giàu kinh nghiệm đã được bổ nhiệm để giám sát công trường xây dựng.","office","650","oversee,manage,direct,control"
"Schedule","/ˈʃedjuːl/","noun","A plan for carrying out a process or procedure, giving a list of intended events and times.","Lịch trình, thời khóa biểu","We need to stay on schedule to finish the project by the deadline.","Chúng ta cần giữ đúng lịch trình để hoàn thành dự án trước thời hạn.","office","500","timetable,program,plan,agenda"
"Prioritize","/praɪˈɒrɪtaɪz/","verb","Designate or treat something as being very or most important.","Ưu tiên","You must learn to prioritize your tasks to manage time effectively.","Bạn phải học cách ưu tiên các nhiệm vụ của mình để quản lý thời gian hiệu quả.","office","700","highlight,rank,order"
"Coordinate","/kəʊˈɔːdɪneɪt/","verb","Bring the different elements of a complex activity or organization into a relationship that will ensure efficiency.","Phối hợp, điều phối","The marketing manager will coordinate the launch of the new product.","Trưởng phòng tiếp thị sẽ điều phối việc ra mắt sản phẩm mới.","office","700","organize,integrate,synchronize,arrange"
"Archive","/ˈɑːkaɪv/","verb","Place or store historical records or documents in an archive.","Lưu trữ (hồ sơ, tài liệu)","We archive all financial reports in a secure server database.","Chúng tôi lưu trữ tất cả các báo cáo tài chính trong một cơ sở dữ liệu máy chủ an toàn.","office","750","store,file,record,preserve"
"Retrieve","/rɪˈtriːv/","verb","Get or bring something back from a place where it was stored.","Lấy lại, tìm lại, truy xuất dữ liệu","It only takes a few seconds to retrieve information from the digital files.","Chỉ mất vài giây để truy xuất thông tin từ các tệp kỹ thuật số.","office","750","recover,fetch,get back,recall"
"Record","/ˈrekɔːd/","noun","A piece of evidence about the past, especially in written or other permanent form.","Hồ sơ, sổ sách, kỷ lục","The company keeps a detailed record of all employee transactions.","Công ty giữ một hồ sơ chi tiết về tất cả các giao dịch của nhân viên.","office","500","file,log,history,document"
"Minute","/ˈmɪnɪt/","noun","A written brief summary of the proceedings of a meeting.","Biên bản cuộc họp (thường dùng số nhiều: minutes)","She was asked to take the minutes during the annual general meeting.","Cô ấy được yêu cầu ghi biên bản trong cuộc họp đại hội đồng thường niên.","office","650","note,summary,transcript,proceedings"
"Memo","/ˈmeməʊ/","noun","A written message, especially in business or an office.","Thông báo nội bộ, bản ghi nhớ","The director sent a memo to all staff explaining the new parking policy.","Giám đốc đã gửi một thông báo nội bộ cho toàn thể nhân viên giải thích về chính sách đỗ xe mới.","office","550","notice,note,message,memorandum"
"Outline","/ˈaʊtlaɪn/","noun","A general description or plan giving the essential features of something but not the detail.","Dàn ý, đề cương, phác thảo","The proposal provides a brief outline of the project milestones.","Đề xuất cung cấp một phác thảo ngắn gọn về các cột mốc quan trọng của dự án.","office","600","draft,sketch,summary,framework"
"Personnel","/ˌpɜːsəˈnel/","noun","People employed in an organization or engaged in an organized undertaking.","Nhân sự, nhân viên","Only authorized personnel are allowed to enter the laboratory.","Chỉ những nhân sự có thẩm quyền mới được phép vào phòng thí nghiệm.","office","650","staff,employees,workers,workforce"
"Recruit","/rɪˈkruːt/","verb","Enroll someone as a member or worker in an organization.","Tuyển dụng","We need to recruit more software developers for the upcoming mobile project.","Chúng tôi cần tuyển dụng thêm các nhà phát triển phần mềm cho dự án di động sắp tới.","office","600","hire,employ,enlist,engage"
"Oversee","/ˌəʊvəˈsiː/","verb","Supervise a person or their work, especially in an official capacity.","Giám sát, trông nom","The manager will oversee the transition to the new accounting software.","Người quản lý sẽ giám sát quá trình chuyển đổi sang phần mềm kế toán mới.","office","700","supervise,manage,overlook,boss"
"Annual","/ˈænjuəl/","adjective","Occurring once every year.","Thường niên, hàng năm","Employees are looking forward to receiving their bonuses at the annual general meeting.","Nhân viên đang rất mong chờ được nhận tiền thưởng tại cuộc họp đại hội đồng thường niên.","finance","500","yearly,every twelve months"
"Subsidiary","/səbˈsɪdiəri/","noun","A company controlled by a holding or parent company.","Công ty con, chi nhánh con","The international conglomerate owns a manufacturing subsidiary in Vietnam.","Tập đoàn quốc tế sở hữu một công ty con sản xuất tại Việt Nam.","finance","850","branch,division,affiliate"
"Lucrative","/ˈluːkrətɪv/","adjective","Producing a great deal of profit.","Sinh lợi, có lời, béo bở","The real estate developer secured a lucrative deal to construct the new office complex.","Nhà phát triển bất động sản đã đạt được một thỏa thuận béo bở để xây dựng khu phức hợp văn phòng mới.","finance","800","profitable,worthwhile,gainful,rewarding"
"Surplus","/ˈsɜːpləs/","noun","An amount of something left over when requirements have been met; an excess of production or supply.","Thặng dư, số dư thừa","The government reported a budget surplus of several billion dollars for the fiscal year.","Chính phủ báo cáo thặng dư ngân sách vài tỷ đô la cho năm tài khóa.","finance","800","excess,overplus,glut,remainder"
"Deficit","/ˈdefɪsɪt/","noun","The amount by which something, especially a sum of money, is too small.","Thâm hụt, số tiền thiếu hụt","The agency must reduce spending to cut down the growing trade deficit.","Cơ quan phải giảm chi tiêu để cắt giảm thâm hụt thương mại đang ngày càng gia tăng.","finance","800","shortage,shortfall,debt,loss"
"Audit","/ˈɔːdɪt/","noun","An official inspection of an individual's or organization's accounts, typically by an independent body.","Kiểm toán, kiểm tra sổ sách","The annual tax audit took place in the accounting department last week.","Cuộc kiểm toán thuế hàng năm đã diễn ra tại bộ phận kế toán vào tuần trước.","finance","750","inspection,examination,check,review"
"Fiscal","/ˈfɪskl/","adjective","Relating to government revenue, especially taxes, or financial matters in general.","Thuộc tài chính, thuộc ngân khố","The company's fiscal year ends on December 31st.","Năm tài chính của công ty kết thúc vào ngày 31 tháng 12.","finance","750","financial,monetary,budgetary,tax"
"Asset","/ˈæset/","noun","A useful or valuable quality, person, or thing; property owned by a person or company.","Tài sản","The company's intellectual property is its most valuable asset.","Sở hữu trí tuệ của công ty là tài sản giá trị nhất của nó.","finance","700","property,resource,possession,holding"
"Liability","/ˌlaɪəˈbɪləti/","noun","The state of being responsible for something, especially by law; a thing for which someone is responsible, especially a debt.","Nghĩa vụ pháp lý, nợ phải trả","The business partners have limited liability under the new agreement.","Các đối tác kinh doanh có trách nhiệm hữu hạn theo thỏa thuận mới.","finance","800","debt,obligation,responsibility,accountability"
"Revenue","/ˈrevənjuː/","noun","Income, especially when of a company or organization and of a substantial nature.","Doanh thu, thu nhập","Advertising revenue has increased significantly since the website redesign.","Doanh thu quảng cáo đã tăng lên đáng kể kể từ khi thiết kế lại trang web.","finance","650","income,profit,earnings,yield"
"Expense","/ɪkˈspens/","noun","The cost required for something; the money spent on something.","Chi phí, khoản chi tiêu","Travel expenses will be reimbursed by the company if you provide receipts.","Chi phí đi lại sẽ được công ty thanh toán lại nếu bạn cung cấp hóa đơn.","finance","550","cost,outlay,spending,charge"
"Calculate","/ˈkælkjuleɪt/","verb","Determine the amount or number of something mathematically.","Tính toán","We need to calculate the total manufacturing cost before setting the retail price.","Chúng ta cần tính toán tổng chi phí sản xuất trước khi thiết lập giá bán lẻ.","finance","500","compute,reckon,work out,estimate"
"Invest","/ɪnˈvest/","verb","Put money into financial schemes, shares, property, or a commercial venture with the expectation of achieving a profit.","Đầu tư","The firm decided to invest in new manufacturing equipment to speed up production.","Công ty đã quyết định đầu tư vào thiết bị sản xuất mới để tăng tốc độ sản xuất.","finance","600","spend,venture,sink,put in"
"Allocate","/ˈæləkeɪt/","verb","Distribute resources or duties for a particular purpose.","Phân bổ, chỉ định","The board will allocate additional funds to the research and development department.","Ban giám đốc sẽ phân bổ thêm tiền quỹ cho bộ phận nghiên cứu và phát triển.","finance","750","assign,distribute,allot,share"
"Evaluate","/ɪˈvæljueɪt/","verb","Form an idea of the amount, number, or value of; assess.","Đánh giá, định giá","The finance team will evaluate the profitability of the new store project.","Nhóm tài chính sẽ đánh giá khả năng sinh lời của dự án cửa hàng mới.","finance","700","assess,appraise,rate,value"
"Project","/prəˈdʒekt/","verb","Estimate or forecast something on the basis of present trends.","Dự báo, ước lượng","Financial analysts project a 5% growth in sales for the next quarter.","Các nhà phân tích tài chính dự báo doanh số bán hàng sẽ tăng trưởng 5% trong quý tới.","finance","700","forecast,estimate,predict,calculate"
"Reimburse","/ˌriːɪmˈbɜːs/","verb","Repay a person who has spent or lost money.","Hoàn lại, hoàn tiền, thanh toán lại","The accounting office will reimburse your hotel expenses within one week.","Văn phòng kế toán sẽ hoàn lại chi phí khách sạn của bạn trong vòng một tuần.","finance","750","repay,refund,compensate"
"Invoice","/ˈɪnvɔɪs/","noun","A list of goods sent or services provided, with a statement of the sum due for these; a bill.","Hóa đơn yêu cầu thanh toán","Please send the invoice directly to the finance office for processing.","Vui lòng gửi hóa đơn trực tiếp đến văn phòng tài chính để xử lý.","finance","600","bill,statement,account"
"Default","/dɪˈfɔːlt/","verb","Fail to fulfill an obligation, especially to repay a loan or to appear in a court of law.","Vỡ nợ, không trả được nợ đúng hạn","If the client defaults on the payment, the contract will be suspended.","If the client defaults on the payment, the contract will be suspended.","finance","800","fail,neglect,lapse"
"Portfolio","/pɔːtˈfəʊliəʊ/","noun","A range of investments held by a person or organization.","Danh mục đầu tư, hồ sơ năng lực","He decided to diversify his investment portfolio by buying tech stocks.","Anh ấy quyết định đa dạng hóa danh mục đầu tư của mình bằng cách mua cổ phiếu công nghệ.","finance","750","holdings,investments,collection"
"Innovative","/ˈɪnəveɪtɪv/","adjective","Introducing new ideas or methods; original and creative.","Sáng tạo, đổi mới, có tính đột phá","The company is famous for its innovative product designs and clever marketing.","Công ty nổi tiếng với các thiết kế sản phẩm sáng tạo và tiếp thị thông minh.","marketing","750","creative,original,novel,revolutionary"
"Strategic","/strəˈtiːdʒɪk/","adjective","Relating to the identification of long-term or overall aims and interests and the means of achieving them.","Mang tính chiến lược","Opening an e-commerce channel was a strategic move to boost global sales.","Mở một kênh thương mại điện tử là một bước đi chiến lược nhằm thúc đẩy doanh số bán hàng toàn cầu.","marketing","700","tactical,calculated,deliberate,planned"
"Brand","/brænd/","noun","A type of product manufactured by a particular company under a particular name.","Thương hiệu, nhãn hiệu","We need to raise brand awareness among younger consumers.","Chúng ta cần nâng cao nhận thức về thương hiệu đối với những người tiêu dùng trẻ tuổi hơn.","marketing","500","trademark,make,label,logo"
"Campaign","/kæmˈpeɪn/","noun","An organized course of action to achieve a particular goal, especially in marketing.","Chiến dịch, đợt vận động","Our online advertising campaign generated thousands of new leads.","Chiến dịch quảng cáo trực tuyến của chúng tôi đã tạo ra hàng ngàn khách hàng tiềm năng mới.","marketing","600","drive,crusade,effort,strategy"
"Promote","/prəˈməʊt/","verb","Support or encourage; publicize or advertise a product or feature.","Quảng bá, khuyến mại, thăng chức","The supermarket hired extra staff to promote the new organic juice.","Siêu thị đã thuê thêm nhân viên để quảng bá nước ép hữu cơ mới.","marketing","550","advertise,publicize,boost,endorse"
"Analyze","/ˈænəlaɪz/","verb","Examine methodically and in detail the constitution or structure of something, especially information.","Phân tích","The agency was hired to analyze target market trends.","Cơ quan đã được thuê để phân tích xu hướng thị trường mục tiêu.","marketing","600","examine,investigate,study,evaluate"
"Target","/ˈtɑːɡɪt/","noun","A person, object, or place selected as the aim of an attack or focus of attention.","Mục tiêu, đối tượng hướng tới","Young professionals are our primary target audience for the new app.","Các chuyên gia trẻ tuổi là khán giả mục tiêu chính của chúng tôi cho ứng dụng mới.","marketing","500","goal,objective,aim,focus"
"Feedback","/ˈfiːdbæk/","noun","Information about reactions to a product, a person's performance of a task, etc. used as a basis for improvement.","Ý kiến phản hồi, nhận xét","We gathered valuable feedback from our beta test users.","Chúng tôi đã thu thập được những ý kiến phản hồi có giá trị từ những người dùng thử nghiệm beta của mình.","marketing","550","response,comment,review,reaction"
"Launch","/lɔːntʃ/","verb","Start or set in motion an activity or enterprise; introduce a new product to the public.","Tung ra, ra mắt (sản phẩm)","The company plans to launch its new smartphone line next autumn.","Công ty có kế hoạch ra mắt dòng điện thoại thông minh mới vào mùa thu tới.","marketing","600","introduce,release,begin,establish"
"Distribution","/ˌdɪstrɪˈbjuːʃn/","noun","The action of sharing something out among a number of recipients; the commercial marketing and transporting of goods.","Sự phân phối, kênh phân phối","Our distribution network covers all major provinces in the country.","Mạng lưới phân phối của chúng tôi bao phủ tất cả các tỉnh thành lớn trong nước.","marketing","650","delivery,allocation,dispersion,circulation"
"Advertise","/ˈædvətaɪz/","verb","Describe or draw attention to a product, service, or event in a public medium in order to promote sales.","Quảng cáo","They decided to advertise the job opening in the local newspaper.","Họ quyết định quảng cáo việc tuyển dụng trên tờ báo địa phương.","marketing","500","promote,publicize,broadcast,plug"
"Consumer","/kənˈsjuːmə(r)/","noun","A person who purchases goods and services for personal use.","Người tiêu dùng","Consumer confidence has dropped due to the rising inflation rate.","Niềm tin của người tiêu dùng đã sụt giảm do tỷ lệ lạm phát gia tăng.","marketing","500","buyer,customer,purchaser,client"
"Demand","/dɪˈmɑːnd/","noun","A consumer's desire and willingness to pay a price for a specific good or service.","Nhu cầu, yêu cầu","There is a high demand for energy-efficient vehicles these days.","Hiện nay đang có nhu cầu cao đối với các phương tiện tiết kiệm năng lượng.","marketing","550","market,need,request,order"
"Segment","/ˈseɡmənt/","noun","Each of the parts into which something is or may be divided; a group of consumers.","Phân khúc (thị trường), đoạn","We are trying to capture a new market segment with our low-cost service.","Chúng tôi đang cố gắng chiếm lĩnh một phân khúc thị trường mới bằng dịch vụ chi phí thấp của mình.","marketing","700","part,section,division,portion"
"Retail","/ˈriːteɪl/","noun","The sale of goods to the public in relatively small quantities for use or consumption rather than for resale.","Bán lẻ","The retail prices of organic vegetables have remained stable.","Giá bán lẻ rau hữu cơ vẫn duy trì ở mức ổn định.","marketing","600","shop sales,direct sales"
"Wholesale","/ˈhəʊlseɪl/","noun","The selling of goods in large quantities to be retailed by others.","Bán buôn, bán sỉ","Buying in bulk at wholesale prices can save the company money.","Mua số lượng lớn với giá bán sỉ có thể tiết kiệm tiền cho công ty.","marketing","650","bulk sale,volume trade"
"Brochure","/ˈbrəʊʃə(r)/","noun","A small book or magazine containing pictures and information about a product or service.","Sách nhỏ quảng cáo, tờ gấp","The travel agency printed a colorful brochure showcasing tourist destinations.","Công ty du lịch đã in một tờ gấp nhiều màu sắc giới thiệu các điểm đến du lịch.","marketing","600","pamphlet,leaflet,booklet,flyer"
"Logo","/ˈləʊɡəʊ/","noun","A symbol or other small design adopted by an organization to identify its products.","Biểu trưng, logo","The company logo features a bright blue bird representing freedom.","Logo của công ty có hình một chú chim màu xanh sáng đại diện cho sự tự do.","marketing","500","emblem,symbol,badge,trademark"
"Trend","/trend/","noun","A general direction in which something is developing or changing.","Xu hướng, trào lưu","The marketing report highlights the current trends in digital purchasing.","Báo cáo tiếp thị nhấn mạnh các xu hướng hiện tại trong mua sắm kỹ thuật số.","marketing","500","tendency,movement,fashion,drift"
"Maximize","/ˈmæksɪmaɪz/","verb","Make as large or great as possible.","Tối đa hóa","Our primary objective is to maximize profit margins over the next fiscal year.","Our primary objective is to maximize profit margins over the next fiscal year.","marketing","650","optimize,increase,expand,boost"
"Delayed","/dɪˈleɪd/","adjective","Happening or arriving late.","Bị trì hoãn, bị chậm","Due to severe weather conditions, the cargo ship arrival was delayed by two days.","Due to severe weather conditions, the cargo ship arrival was delayed by two days.","shipping","500","postponed,late,belated,deferred"
"Customs","/ˈkʌstəmz/","noun","The official department that administers and collects duties on imported goods.","Hải quan, thuế nhập khẩu","All international shipments must pass through customs inspection.","All international shipments must pass through customs inspection.","shipping","700","duty department,border tax"
"Border","/ˈbɔːdə(r)/","noun","A line separating two political or geographical areas, especially countries.","Biên giới, ranh giới","Trucks were queued at the national border waiting for cargo clearance.","Trucks were queued at the national border waiting for cargo clearance.","shipping","500","frontier,boundary,limit,edge"
"Shipment","/ˈʃɪpmənt/","noun","A batch of goods destined for or delivered to a customer or store.","Lô hàng, việc vận chuyển","We received a large shipment of replacement computer monitors yesterday.","We received a large shipment of replacement computer monitors yesterday.","shipping","600","cargo,delivery,load,consignment"
"Arrive","/əˈraɪv/","verb","Reach a destination at the end of a journey or stage.","Đến nơi, cập bến","The courier is expected to arrive at the office before noon.","The courier is expected to arrive at the office before noon.","shipping","500","reach,come,show up,land"
"Depart","/dɪˈpɑːt/","verb","Leave, especially on a journey.","Khởi hành, xuất phát","The train is scheduled to depart from platform 3 at exactly 2 PM.","The train is scheduled to depart from platform 3 at exactly 2 PM.","shipping","500","leave,go away,embark,exit"
"Transport","/ˈtrænspɔːt/","verb","Take or carry people or goods from one place to another by means of a vehicle, aircraft, or ship.","Vận chuyển, chuyên chở","Containers are used to transport goods safely across the oceans.","Containers are used to transport goods safely across the oceans.","shipping","550","carry,convey,move,ship"
"Cargo","/ˈkɑːɡəʊ/","noun","Goods carried on a ship, aircraft, or motor vehicle.","Hàng hóa (chở trên tàu, máy bay)","The plane carried a cargo of medical supplies to the disaster area.","The plane carried a cargo of medical supplies to the disaster area.","shipping","650","freight,goods,shipment,load"
"Deliver","/dɪˈlɪvə(r)/","verb","Bring and hand over a letter, parcel, or goods to the proper recipient.","Giao hàng, phân phát","The local restaurant will deliver hot meals to your office door.","The local restaurant will deliver hot meals to your office door.","shipping","500","hand over,bring,transport,give"
"Track","/træk/","verb","Follow the course or trail of someone or something; check status of shipment.","Theo dõi (lịch trình, tiến độ)","Customers can track their orders in real time using the tracking number.","Customers can track their orders in real time using the tracking number.","shipping","550","follow,monitor,trace,observe"
"Dispatch","/dɪˈspætʃ/","verb","Send off to a destination or for a purpose.","Gửi đi, phái đi, điều phối","The warehouse will dispatch the ordered goods early tomorrow morning.","The warehouse will dispatch the ordered goods early tomorrow morning.","shipping","750","send,forward,ship,post"
"Inventory","/ˈɪnvəntri/","noun","A complete list of items such as property, goods in stock, or the contents of a building.","Hàng tồn kho, bảng kiểm kê","We perform a full inventory check twice a year to verify stock levels.","We perform a full inventory check twice a year to verify stock levels.","shipping","650","stock,list,supply,catalog"
"Warehouse","/ˈweəhaʊs/","noun","A large building where raw materials or manufactured goods may be stored before their export or distribution.","Nhà kho, kho hàng","The company built a new automated warehouse near the shipping port.","The company built a new automated warehouse near the shipping port.","shipping","600","storehouse,depot,repository"
"Carrier","/ˈkæriə(r)/","noun","A person or company that undertakes the professional transport of goods or passengers.","Nhà vận chuyển, hãng vận tải","We need to select a reliable shipping carrier for our international deliveries.","We need to select a reliable shipping carrier for our international deliveries.","shipping","650","transporter,shipper,conveyor"
"Freight","/freɪt/","noun","Goods transported by truck, train, ship, or aircraft.","Cước phí vận chuyển, hàng hóa","The freight charges for shipping by air are much higher than by sea.","The freight charges for shipping by air are much higher than by sea.","shipping","750","cargo,freighting,postage,transportation"
"Transit","/ˈtrænzɪt/","noun","The carrying of people or things from one place to another; period of travel.","Sự quá cảnh, sự đi qua","The goods were damaged in transit between the factory and the warehouse.","The goods were damaged in transit between the factory and the warehouse.","shipping","700","transport,passage,movement,journey"
"Domestic","/dəˈmestɪk/","adjective","Existing or occurring within a particular country; not foreign or international.","Nội địa, trong nước","The government aims to promote domestic manufacturing industries.","The government aims to promote domestic manufacturing industries.","shipping","600","national,local,home,native"
"Import","/ˈɪmpɔːt/","verb","Bring goods or services into a country from abroad for sale.","Nhập khẩu","We import coffee beans from South America to roast locally.","We import coffee beans from South America to roast locally.","shipping","550","bring in,buy in,introduce"
"Export","/ɪkˈspɔːt/","verb","Send goods or services to another country for sale.","Xuất khẩu","Vietnam is one of the top countries that export rice globally.","Vietnam is one of the top countries that export rice globally.","shipping","550","sell abroad,send out,distribute"
